title,author,journal,year,source,status,reason
"24th European Conference on Systems, Software and Services Process Improvement, EuroSPI 2017",,Communications in Computer and Information Science,2017,El Compendex,Duplicated,
GAMIFICATION: methodology to engage and motivate students in the learning process,"Araujo, Ines",EDUCATION IN THE KNOWLEDGE SOCIETY,2016,ISI Web of Science,Rejected,Not English-written papers
"GAMES AND SIMULATIONS IN INDUSTRIAL ENGINEERING EDUCATION: A REVIEW OF
THE COGNITIVE AND AFFECTIVE LEARNING OUTCOMES","Despeisse, Melanie",,2018,ISI Web of Science,Duplicated,
Survey for mapping game elements,"Sillaots, Martin and Jesmin, Triinu and Rinde, Andrus",Proceedings of the European Conference on Games-based Learning,2016,El Compendex,Rejected,Not a secondary study
Games and simulations in industrial engineering education: A review of the cognitive and affective learning outcomes,"Despeisse, M.",Proceedings - Winter Simulation Conference,2019,Scopus,Duplicated,
What drives construction workers' acceptance of wearable technologies in the workplace?: Indoor localization and wearable health devices for occupational safety and health,Byungjoo Choi and Sungjoo Hwang and SangHyun Lee,Automation in Construction,2017,Science@Direct,Rejected,Study that does not address gamification
"User Acceptance of e-Government Citizen Report System (a Case Study of
City113 App)","Susanto, Tony Dwi and Diani, Made Mira and Hafidz, Irmasari",,2017,ISI Web of Science,Duplicated,
Engineers at Play: Games as Teaching Tools for Undergraduate Engineering Students,"Bodnar, Cheryl A. and Anastasio, Daniel and Enszer, Joshua A. and Burkey, Daniel D.",Journal of Engineering Education,2016,El Compendex,Rejected,Study that does not address gamification
User Acceptance of e-Government Citizen Report System (a Case Study of City113 App),"Susanto, Tony Dwi and Diani, Made Mira and Hafidz, Irmasari",Procedia Computer Science,2017,El Compendex,Duplicated,
The cognitive and social motivational affordances of gamification in E-Learning environment,"Abu-Dawood, S.","Proceedings - IEEE 16th International Conference on Advanced Learning Technologies, ICALT 2016",2016,Scopus,Rejected,Not a systematic secondary study
User Acceptance of e-Government Citizen Report System (a Case Study of City113 App),Tony Dwi Susanto and Made Mira Diani and Irmasari Hafidz,Procedia Computer Science,2017,Science@Direct,Duplicated,
Gamification and multimedia for medical education: A landscape review,"McCoy, L. and Lewis, J.H. and Dalton, D.",Journal of the American Osteopathic Association,2016,Scopus,Rejected,Not a systematic secondary study
Redesigning the bartle test of gamer psychology for its application in gamification processes of learning,"Gonzalez Marino, Julio Cesar and Cantu Gallegos, Ma De Lourdes and Camacho Cruz, Hugo Eduardo and Rosales Camacho, Jose Alejandro","IMSCI 2018 - 12th International Multi-Conference on Society, Cybernetics and Informatics, Proceedings",2018,El Compendex,Duplicated,
GAMIFICATION IN EDUCATION: CURRENT STATE,"Pilar, Ladislav and Rojik, Stanislav and Balcarova, Tereza and Polakova, Jana",,2016,ISI Web of Science,Rejected,Not a secondary study
"A gamified peer assessment model for on-line learning environments in a
competitive context","Tenorio, Thyago and Bittencourt, Ig Ibert and Isotani, Seiji and Pedro, Alan and Ospina, Patricia",COMPUTERS IN HUMAN BEHAVIOR,2016,ISI Web of Science,Duplicated,
"Mobile learning, Gamification and Augmented Reality for the teaching andlearning of languages","Moreno Martinez, Noelia Margarita and Leiva Olivencia, Juan Jose andMatas Terron, Antonio",IJERI-INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH AND INNOVATION,2016,ISI Web of Science,Rejected,Not a secondary study
A gamified peer assessment model for on-line learning environments in a competitive context,Thyago Tenório and Ig Ibert Bittencourt and Seiji Isotani and Alan Pedro and Patrícia Ospina,Computers in Human Behavior,2016,Science@Direct,Duplicated,
``The Sugar'd Game before Thee″: Gamification Revisited,"Hughes, Michael and Lacy, C. Jeff",PORTAL-LIBRARIES AND THE ACADEMY,2016,ISI Web of Science,Rejected,Not a systematic secondary study
A gamification approach for experiential education of inventory control,"Egilmez, G. and Gedik, R.","ASEE Annual Conference and Exposition, Conference Proceedings",2018,Scopus,Duplicated,
Gamification and Mobile Marketing Effectiveness,Charles F. Hofacker and Ko de Ruyter and Nicholas H. Lurie and Puneet Manchanda and Jeff Donaldson,Journal of Interactive Marketing,2016,Science@Direct,Rejected,Not a systematic secondary study
Exploring Willingness to Pay for Electric Vehicle Charging with Gamified Survey,L. {Dorcec} and D. {Pevec} and H. {Vdovie} and J. {Babic} and V. {Podobnik},,2018,IEEE Digital Library,Duplicated,
Research on Clinical Preventive Services for Adolescents and Young Adults: Where Are We and Where Do We Need to Go?,Sion K. Harris and Matthew C. Aalsma and Elissa R. Weitzman and Diego Garcia-Huidobro and Charlene Wong and Scott E. Hadland and John Santelli and M. Jane Park and Elizabeth M. Ozer,Journal of Adolescent Health,2017,Science@Direct,Rejected,Study that does not address gamification
"Simulated Environments in Architecture Education. Improving the Student
Motivation","Valls, Francesc and Redondo, Ernest and Sanchez, Albert and Fonseca, David and Villagrasa, Sergi and Navarro, Isidro",,2017,ISI Web of Science,Duplicated,
Gamification and learning: A review of issues and research,"Faiella, F. and Ricciardi, M.",Journal of E-Learning and Knowledge Society,2015,Scopus,Rejected,Not a systematic secondary study
Simulated environments in architecture education. Improving the student motivation,"Valls, F. and Redondo, E. and Sánchez, A. and Fonseca, D. and Villagrasa, S. and Navarro, I.",Advances in Intelligent Systems and Computing,2017,Scopus,Duplicated,
Gamification for crowdsourcing marketing practices: Applications and benefits in tourism,"Sigala, M.",Advances in Crowdsourcing,2015,Scopus,Rejected,Not a systematic secondary study
"A systematic mapping study on game-related methods for software
engineering education","Souza, Mauricio R. de A. and Veado, Lucas and Moreira, Renata Teles and
Figueiredo, Eduardo and Costa, Heitor",INFORMATION AND SOFTWARE TECHNOLOGY,2018,ISI Web of Science,Duplicated,
"Gamification in market research: Promises, results, and limitations","Pashupati, K. and Raman, P.",Emerging Research and Trends in Gamification,2015,Scopus,Rejected,Not a systematic secondary study
A systematic mapping study on game-related methods for software engineering education,Mauricio R. de A. Souza and Lucas Veado and Renata Teles Moreira and Eduardo Figueiredo and Heitor Costa,Information and Software Technology,2018,Science@Direct,Duplicated,
The knowledge society's origins and current trajectory,Fred Phillips and Ching-Ying Yu and Tahir Hameed and Mahmoud Abdullah El Akhdary,International Journal of Innovation Studies,2017,Science@Direct,Rejected,Study that does not address gamification
Discovering social networks using a mobile phone game,"Bossomaier, Terry and Duncan, Roderick and D'Alessandro, Steve and Evans, Michelle and Hossian, Liaquant","14th International Conference on Modeling and Applied Simulation, MAS 2015",2015,El Compendex,Duplicated,
"To gamify or not to gamify? An experimental field study of the influence of badges on motivation, activity, and performance in an online learning course",Elias Kyewski and Nicole C. Krämer,Computers & Education,2018,Science@Direct,Rejected,Not a secondary study
When Virtual Meets Real: The Effect of PokÃ©mon Go on Local Restaurants,"Pamuru, V. and Khern-am-nuai, W. and Kannan, K.",ICIS 2017: Transforming Society with Digital Innovation,2018,Scopus,Duplicated,
Gamification as an educational technology tool in engaging and motivating students; An analyses review,"Sanmugam, M. and Zaid, N.M. and Mohamed, H. and Abdullah, Z. and Aris, B. and Suhadi, S.M.",Advanced Science Letters,2015,Scopus,Rejected,Not a systematic secondary study
"A Field-Validated Architecture for the Collection of Health-Relevant
Behavioural Data","Knowles, Dylan L. and Stanley, Kevin G. and Osgood, Nathaniel D.",,2014,ISI Web of Science,Duplicated,
PAST AND FUTURE OF GAMIFICATION IN THE LEARNING OF ENGLISH AS A FOREIGNLANGUAGE,"Osma-Ruiz, Victor J. and Arguelles-Alvarez, Irina and Saenz-Lechon, Nicolas and Gutierrez-Arriola, Juana M. and Fraile, Ruben andVillar-Miguelez, Cristina and Guerrero-Vaquerizo, Ivan",,2015,ISI Web of Science,Rejected,"Gray literature (position paper, and studies without peer-review process)"
A field-validated architecture for the collection of health-relevant behavioural data,"Knowles, D.L. and Stanley, K.G. and Osgood, N.D.","Proceedings - 2014 IEEE International Conference on Healthcare Informatics, ICHI 2014",2014,Scopus,Duplicated,
Public enlightenment and participation – A major contribution in mitigating climate change,Nnaemeka Madumere,International Journal of Sustainable Built Environment,2017,Science@Direct,Rejected,Study that does not address gamification
An analysis of players’ personality type and preferences for game elements and mechanics,Lauren S. Ferro,Entertainment Computing,2018,Science@Direct,Duplicated,
INNOVATION AND GAMIFICATION: A VIEW ON THE SCIENTIFIC LITERATUREEVOLUTION,"Procopie, Roxana and Giusca, Smaranda and Bumbac, Robert andVasilcovschi, Andra",,2015,ISI Web of Science,Rejected,Not a systematic secondary study
An analysis of players’ personality type and preferences for game elements and mechanics,"Ferro, L.S.",Entertainment Computing,2018,Scopus,Duplicated,
The Impact of Educational Gaming on Knowledge Acquisition in HealthSciences Students,"Yuen, Hon K. and Jenkins, Gavin R.",,2015,ISI Web of Science,Rejected,Not a secondary study
Defining recrutainment: A model and a survey on the gamification of recruiting and human resources,"Korn, Oliver and Brenner, Florian and Borsig, Julian and Lalli, Fabio and Mattmuller, Maik and Muller, Andrea",Advances in Intelligent Systems and Computing,2018,El Compendex,Duplicated,
Gamification in a smart city context. An analysis and a proposal for its application in co-design processes,"Opromolla, A. and Ingrosso, A. and Volpi, V. and Medaglia, C.M. and Palatucci, M. and Pazzola, M.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2015,Scopus,Rejected,Not a systematic secondary study
Students’ learning performance and perceived motivation in gamified flipped-class instruction,"Zainuddin, Z.",Computers and Education,2018,Scopus,Duplicated,
New digital adherence devices could prevent millions of strokes from atrial fibrillation by the end of the next century,Philip Boehme and Peter Wienand and Maximilian Herrmann and Hubert Truebel and Thomas Mondritzki,Medical Hypotheses,2017,Science@Direct,Rejected,Study that does not address gamification
"Students' learning performance and perceived motivation in gamified
flipped-class instruction","Zainuddin, Zamzami",COMPUTERS \& EDUCATION,2018,ISI Web of Science,Duplicated,
Exploring gamification techniques and applications for sustainable tourism,"Negruşa, A.L. and Toader, V. and Sofică, A. and Tutunea, M.F. and Rus, R.V.",Sustainability (Switzerland),2015,Scopus,Rejected,Not a systematic secondary study
"DoosMooc: An Online Learning Environment Equipped with Innovative Social
Interactions","Orooji, Fatemeh and Taghiyareh, Fattaneh and Nasirifard, Pezhman",BULLETIN OF THE TECHNICAL COMMITTEE ON LEARNING TECHNOLOGY,2015,ISI Web of Science,Duplicated,
"Gamification in market research Increasing enjoyment, participantengagement and richness of data, but what of data validity?","Bailey, Pippa and Pritchard, Gareth and Kernohan, Hollie",INTERNATIONAL JOURNAL OF MARKET RESEARCH,2015,ISI Web of Science,Rejected,Not a systematic secondary study
"From comenius to counter-strike, 400 years of game-based learning as a didactic foundation","Hellerstedt, A. and Mozelius, P.",Proceedings of the European Conference on Games-based Learning,2018,Scopus,Duplicated,
A literature review of gamification design frameworks,"Mora, Alberto and Riera, Daniel and Gonzalez, Carina and Arnedo-Moreno, Joan",,2015,ISI Web of Science,Accepted,
"A heuristic evaluation to support the instructional and enjoyment
aspects of a math game","Yeni, Sabiha and Cagiltay, Kursat",PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2017,ISI Web of Science,Duplicated,
Objective scoring of an electronic surgical logbook: Analysis of impact and observations within a surgical training body,Cuan M. Harrington and Dara O. Kavanagh and Donncha Ryan and Patrick Dicker and Peter E. Lonergan and Oscar Traynor and Sean Tierney,The American Journal of Surgery,2017,Science@Direct,Rejected,Study that does not address gamification
Systematic literature review: An exploration of gamification in the context of engineering education,"Morelock, John R.",IIE Annual Conference and Expo 2013,2013,El Compendex,Duplicated,
Gamification of incentives and mechanism design in systems engineering,J. H. {Clerkin} and B. {Mesmer},,2016,IEEE Digital Library,Rejected,Not a secondary study
Usage of Gamification in Enterprise: A Review,"Aziz, Abdul and Mushtaq, Ana and Anwar, Misbah",,2017,ISI Web of Science,Duplicated,
Gamification of education: A review of literature,"Nah, F.F.-H. and Zeng, Q. and Telaprolu, V.R. and Ayyappa, A.P. and Eschenbrenner, B.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2014,Scopus,Rejected,Not a systematic secondary study
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2014,Scopus,Duplicated,
A review of gamification for health-related contexts,"Pereira, P. and Duarte, E. and Rebelo, F. and Noriega, P.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2014,Scopus,Rejected,Not a systematic secondary study
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2017,Scopus,Duplicated,
Rethinking social housing: Behavioural patterns and technological innovations,Valentina Gianfrate and Chiara Piccardo and Danila Longo and Andrea Giachetta,Sustainable Cities and Society,2017,Science@Direct,Rejected,Study that does not address gamification
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2015,Scopus,Duplicated,
A game plan: Gamification design principles in mHealth applications for chronic disease management,"Miller, A.S. and Cafazzo, J.A. and Seto, E.",Health Informatics Journal,2014,Scopus,Rejected,Not a systematic secondary study
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2018,El Compendex,Duplicated,
Gamification of Geographic Data Collection,"Odobasic, Drazen and Medak, Damir and Miler, Mario",,2013,ISI Web of Science,Rejected,Not a systematic secondary study
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2018,Scopus,Duplicated,
Are we playing yet? A review of gamified enterprise systems,"Augustin, Kai and Thiebes, Scott and Lins, Sebastian and Linden, Robert and Basten, Dirk","Pacific Asia Conference on Information Systems, PACIS 2016 - Proceedings",2016,El Compendex,Rejected,Not a systematic secondary study
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2018,Scopus,Duplicated,
Learning factories for future oriented research and education in manufacturing,Eberhard Abele and George Chryssolouris and Wilfried Sihn and Joachim Metternich and Hoda ElMaraghy and Günther Seliger and Gunilla Sivard and Waguih ElMaraghy and Vera Hummel and Michael Tisch and Stefan Seifermann,CIRP Annals,2017,Science@Direct,Rejected,Study that does not address gamification
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2018,Scopus,Duplicated,
Information Literacy Gamified Online Tutorial,"Batooli, Zahra and Fahimnia, Fatemeh and Naghshinih, Nader and Mirhosseini, Fakhralsadat","12th National and the 6th International Conference on e-Learning and e-Teaching, ICELET 2018",2018,El Compendex,Rejected,Not a systematic secondary study
CEUR workshop proceedings,,CEUR Workshop Proceedings,2018,Scopus,Duplicated,
A review of introducing game elements to e-participation,"Thiel, Sarah-Kristin","Proceedings of the 6th International Conference for E-Democracy and Open Government, CeDEM 2016",2016,El Compendex,Rejected,Not a systematic secondary study
CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2018,El Compendex,Duplicated,
Gaming existence- The world of gamification,"Richard, Fromann",INFORMACIOS TARSADALOM,2018,ISI Web of Science,Rejected,"Gray literature (position paper, and studies without peer-review process)"
GamiTRIZation - Gamification for TRIZ Education,"Hentschel, Claudia and Thurnes, Christian M. and Zeihsel, Frank",,2018,ISI Web of Science,Duplicated,
Development of a computer-interpretable clinical guideline model for decision support in the differential diagnosis of hyponatremia,Arturo González-Ferrer and M. Ángel Valcárcel and Martín Cuesta and Joan Cháfer and Isabelle Runkle,International Journal of Medical Informatics,2017,Science@Direct,Rejected,Study that does not address gamification
"What technological features are used in smartphone apps that promote
physical activity? A review and content analysis","Mollee, J. S. and Middelweerd, A. and Kurvers, R. L. and Klein, M. C. A.",PERSONAL AND UBIQUITOUS COMPUTING,2017,ISI Web of Science,Duplicated,
Gamification in crowdsourcing: A review,"Morschheuser, B. and Hamari, J. and Koivisto, J.",Proceedings of the Annual Hawaii International Conference on System Sciences,2016,Scopus,Accepted,
What technological features are used in smartphone apps that promote physical activity? A review and content analysis,"Mollee, J.S. and Middelweerd, A. and Kurvers, R.L. and Klein, M.C.A.",Personal and Ubiquitous Computing,2017,Scopus,Duplicated,
Gamifying an ICT course: Influences on engagement and academic performance,Ünal Çakıroğlu and Betül Başıbüyük and Mustafa Güler and Melek Atabay and Bahar Yılmaz Memiş,Computers in Human Behavior,2017,Science@Direct,Rejected,Not a secondary study
Augmented Reality game in the hybrid urban environment,"Mesárošová, A. and Hernández, M.F.","Virtual and Augmented Reality: Concepts, Methodologies, Tools, and Applications",2018,Scopus,Duplicated,
THE GAMIFICATION AS A TOOL IN THE TEACHER'S WORK OF THE COUNSELOR:INNOVATION IN VOCATIONAL COUNSELING FROM THE NEURODIDACTIC,"Ferrer Planchart, Sonia Clementina and Fernandez Reina, Mariana andPolanco Padron, Noirailith Daniela and Montero Montero, Maria Eugeniaand Caridad Ferrer, Estefany Elynett",REVISTA IBEROAMERICANA DE EDUCACION,2018,ISI Web of Science,Rejected,Not English-written papers
Augmented Reality game in the hybrid urban environment,"Mesaroova, Alena and Hernandez, Manuel Ferrer","Virtual and Augmented Reality: Concepts, Methodologies, Tools, and Applications",2018,El Compendex,Duplicated,
"Consumer experiences, attitude and behavioral intention toward online food delivery (OFD) services",Vincent Cheow Sern Yeo and See-Kwong Goh and Sajad Rezaei,Journal of Retailing and Consumer Services,2017,Science@Direct,Rejected,Study that does not address gamification
Augmented reality game in the hybrid urban environment,"Mesároşová, A. and Hernández, M.F.","Analyzing Art, Culture, and Design in the Digital Age",2015,Scopus,Duplicated,
GAMIFICATION AND RESPONSIBLE GAMING: FRIENDS OR FOES?,"Mulligan, Kristina",GAMING LAW REVIEW-ECONOMICS REGULATION COMPLIANCE AND POLICY,2018,ISI Web of Science,Rejected,"Gray literature (position paper, and studies without peer-review process)"
Gamification for teaching Java,"Cubukcu, Cagri and Goodman, Lizbeth and Wang, Bo and Mangina, Eleni",ACM International Conference Proceeding Series,2017,El Compendex,Duplicated,
The Boundaries of Gamification for Engaging Customers: Effects of Losing a Contest in Online Co-creation Communities,Thomas Leclercq and Wafa Hammedi and Ingrid Poncin,Journal of Interactive Marketing,2018,Science@Direct,Rejected,Not a secondary study
"Perceptions of Students for Gamification Approach: Kahoot as a Case
Study","Bicen, Huseyin and Kocakoyun, Senay",INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,2018,ISI Web of Science,Duplicated,
Gamified learning in higher education: A systematic review of the literature,Sujit Subhash and Elizabeth A. Cudney,Computers in Human Behavior,2018,Science@Direct,Accepted,
"Multimedia Field Test: Evaluating the Creative Ambitions of SuperBetter
and Its Quest to Gamify Mental Health","Chou, Tommy and Bry, Laura J. and Corner, Jonathan S.",COGNITIVE AND BEHAVIORAL PRACTICE,2017,ISI Web of Science,Duplicated,
Chapter 9 - Wider Themes and Trends,Karen Bordonaro,,2017,Science@Direct,Rejected,Study that does not address gamification
How to Assure Agile Method and Process Alignment in an Organization?,"Poth, Alexander and Kottke, Mario",Communications in Computer and Information Science,2018,El Compendex,Duplicated,
Defining gameful experience as a psychological state caused by gameplay: Replacing the term ‘Gamefulness’ with three distinct constructs,Richard N. Landers and Gustavo F. Tondello and Dennis L. Kappen and Andrew B. Collmus and Elisa D. Mekler and Lennart E. Nacke,International Journal of Human-Computer Studies,2018,Science@Direct,Rejected,Not a secondary study
"Actors, Elements, and Innovative Interfaces in Game Experiences: CCAE as
a Model For Analysing Game Elements","Oceja, Jorge and Gonzalez Fernandez, Natalia",,2016,ISI Web of Science,Duplicated,
GAMIFICATION FOR USER-ORIENTED HOUSING DESIGN A Theoretical Review,"Lo, Tian Tian and Schnabel, Marc Aurel and Moleta, Tane J.",,2017,ISI Web of Science,Rejected,Not a secondary study
"Actors, elements, and innovative interfaces in game experiences: CCAE as a model for analysing game elements","Oceja, J. and Fernández, N.G.",Proceedings of the European Conference on Games-based Learning,2016,Scopus,Duplicated,
Gamification of Enterprise Systems: A Lifecycle Approach,Ola El-Telbany and Ahmed Elragal,Procedia Computer Science,2017,Science@Direct,Rejected,Not a secondary study
"Training Emotionally Intelligent Leaders: The Case of Massively
Multiplayer Online Games","Mysirlaki, Sofia and Paraskeva, Fotini",,2015,ISI Web of Science,Duplicated,
Investigating the simulation elements of environment and control: Extending the Uncanny Valley Theory to simulations,Matt C. Howard,Computers & Education,2017,Science@Direct,Rejected,Study that does not address gamification
Training emotionally intelligent leaders: The Case of Massively Multiplayer Online Games,"Mysirlaki, S. and Paraskeva, F.",Proceedings of the European Conference on Games-based Learning,2015,Scopus,Duplicated,
A qualitative investigation of student perceptions of game elements in a gamified course,Tugce Aldemir and Berkan Celik and Goknur Kaplan,Computers in Human Behavior,2018,Science@Direct,Rejected,Not a secondary study
"Implementing flipped classroom and gamification teaching methods into computer networks subject, by using cisco networking academy",A. {Zhamanov} and Z. {Sakhiyeva},,2015,IEEE Digital Library,Duplicated,
The experimental analysis of problematic video gaming and cognitive skills: A systematic review,Filip Nuyens and Daria J. Kuss and Olatz Lopez-Fernandez and Mark D. Griffiths,Journal de Thérapie Comportementale et Cognitive,2017,Science@Direct,Rejected,Study that does not address gamification
"Implementing Flipped Classroom and Gamification teaching methods into
Computer Networks subject, by using Cisco Networking Academy","Zhamanov, Azamat and Sakhiyeva, Zhulduz",,2015,ISI Web of Science,Duplicated,
"Analyzing the educational design, use and effect of spatial games for cultural heritage: A literature review",Irini Malegiannaki and Τhanasis Daradoumis,Computers & Education,2017,Science@Direct,Rejected,Study that does not address gamification
"Implementing flipped classroom and gamification teaching methods into computer networks subject, by using cisco networking academy","Zhamanov, Azamat and Sakhiyeva, Zhulduz","Proceedings of the 2015 12th International Conference on Electronics Computer and Computation, ICECCO 2015",2015,El Compendex,Duplicated,
Systematically reviewing the potential of concept mapping technologies to promote self-regulated learning in primary and secondary science education,Matt P. Stevenson and Rikke Hartmeyer and Peter Bentsen,Educational Research Review,2017,Science@Direct,Rejected,Study that does not address gamification
Using Gamification in Outreach Camps: Experience from an IS Program,"Gottipati, Swapna and Shankararaman, Venky","Proceedings - Frontiers in Education Conference, FIE",2019,El Compendex,Duplicated,
A proposed genome of mobile and situated crowdsourcing and its design implications for encouraging contributions,Yun Huang and Alain Shema and Huichuan Xia,International Journal of Human-Computer Studies,2017,Science@Direct,Rejected,Study that does not address gamification
Computer Games for User Engagement in Attention Deficit Hyperactivity Disorder (ADHD) Monitoring and Therapy,M. P. {Craven} and M. J. {Groom},,2015,IEEE Digital Library,Duplicated,
A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults,Monica Nour and Sin Hang Yeung and Stephanie Partridge and Margaret Allman-Farinelli,Journal of the Academy of Nutrition and Dietetics,2017,Science@Direct,Rejected,Study that does not address gamification
Computer Games for User Engagement in Attention Deficit Hyperactivity Disorder (ADHD) Monitoring and Therapy,"Craven, M.P. and Groom, M.J.","Proceedings - 2015 International Conference on Interactive Technologies and Games, ITAG 2015",2016,Scopus,Duplicated,
Making Cool Choices for sustainability: Testing the effectiveness of a game-based approach to promoting pro-environmental behaviors,Michael Ro and Markus Brauer and Kathy Kuntz and Raj Shukla and Ingo Bensch,Journal of Environmental Psychology,2017,Science@Direct,Rejected,Study that does not address gamification
Using technology to boost employee wellbeing? How gamification can help or hinder results,"Pogrebtsova, E. and Tondello, G.F. and Premsukh, H. and Nacke, L.E.",CEUR Workshop Proceedings,2017,Scopus,Duplicated,
Gamification of task performance with leaderboards: A goal setting experiment,Richard N. Landers and Kristina N. Bauer and Rachel C. Callan,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
The Use of Virtual and Augmented Reality to Prevent the Physical Effects Caused by Diabetes Melitus Type 2: An Integrative Review,"Neira-Tovar, Leticia and Castilla Rodriguez, Ivan",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,El Compendex,Duplicated,
"An investigation of player motivations in Eyewire, a gamified citizen science project",Ramine Tinati and Markus Luczak-Roesch and Elena Simperl and Wendy Hall,Computers in Human Behavior,2017,Science@Direct,Rejected,Study that does not address gamification
Does Gamification Work? -- A Literature Review of Empirical Studies on Gamification,J. {Hamari} and J. {Koivisto} and H. {Sarsa},,2014,IEEE Digital Library,Duplicated,
